,Time_of_Incident,Time_of_report,Incident,Location,month_year
0,2016-01-08 07:00:00+00:00,2016-12-20,Sex Offense,7100 Preinkert Drive,2016-01
1,2016-01-21 04:00:00+00:00,2017-03-03,Vandalism,South Campus Commons,2016-01
2,2016-01-22 18:00:00+00:00,2017-03-03,Alcohol Violation,Wicomico Hall,2016-01
3,2016-01-22 20:54:00+00:00,2017-03-03,Alcohol Violation,Easton Hall,2016-01
4,2016-01-22 21:00:00+00:00,2017-03-03,Alcohol Violation,Ellicott Hall,2016-01
5,2016-01-22 21:30:00+00:00,2017-03-03,Alcohol Violation,LaPlata Hall,2016-01
6,2016-01-23 11:00:00+00:00,2017-03-03,Fight,South Campus Commons,2016-01
7,2016-01-23 20:26:00+00:00,2017-03-03,Alcohol Violation,Prince Frederick Hall,2016-01
8,2016-01-24 21:50:00+00:00,2017-03-03,Noise Violation,Easton Hall,2016-01
9,2016-01-25 12:35:00+00:00,2017-03-03,Alcohol Violation,4500 College Ave,2016-01
10,2016-01-26 00:25:00+00:00,2017-03-03,Injured/Sick Person,Prince Frederick Hall,2016-01
11,2016-01-29 02:00:00+00:00,2016-12-20,Peeping Tom,7200 Preinkert Drive,2016-01
12,2016-01-30 00:30:00+00:00,2017-03-03,Noise Violation,Garrett Hall,2016-01
13,2016-01-30 22:00:00+00:00,2017-03-03,Noise Violation,Ellicott Hall,2016-01
14,2016-01-31 16:31:00+00:00,2017-03-03,Noise Violation,South Campus Commons,2016-01
15,2016-02-02 05:15:00+00:00,2017-03-03,Injured/Sick Person,Easton Hall,2016-02
16,2016-02-03 03:30:00+00:00,2017-03-03,Harassment,Easton Hall,2016-02
17,2016-02-04 20:00:00+00:00,2017-03-03,Injured/Sick Person,Ellicott Hall,2016-02
18,2016-02-05 00:00:00+00:00,2017-03-03,Alcohol Violation,Leonardtown Apts,2016-02
19,2016-02-06 00:05:00+00:00,2017-03-03,Noise Violation,Worcester Hall,2016-02
20,2016-02-06 01:05:00+00:00,2017-03-03,Alcohol Violation,South Campus Commons,2016-02
21,2016-02-06 23:30:00+00:00,2017-03-03,Injured/Sick Person,Ellicott Hall,2016-02
22,2016-02-07 02:24:00+00:00,2017-03-03,Injured/Sick Person,Anne Arundel Hall,2016-02
23,2016-02-07 04:00:00+00:00,2017-03-03,Vandalism,South Campus Commons,2016-02
24,2016-02-09 03:10:00+00:00,2017-03-03,Assault,Elkton Hall,2016-02
25,2016-02-11 02:45:00+00:00,2017-03-03,Injured/Sick Person,Ellicott Hall,2016-02
26,2016-02-12 23:47:00+00:00,2017-03-03,Injured/Sick Person,Elkton Hall,2016-02
27,2016-02-13 02:00:00+00:00,2017-03-03,Injured/Sick Person,Ellicott Hall,2016-02
28,2016-02-13 22:25:00+00:00,2017-03-03,Noise Violation,Denton Hall,2016-02
29,2016-02-14 00:50:00+00:00,2017-03-03,Injured/Sick Person,Denton Hall,2016-02
30,2016-02-14 01:35:00+00:00,2017-03-03,Noise Violation,South Campus Commons,2016-02
31,2016-02-15 00:15:00+00:00,2017-03-03,Noise Violation,South Campus Commons,2016-02
32,2016-02-15 01:03:00+00:00,2017-03-03,Noise Violation,Ellicott Hall,2016-02
33,2016-02-16 12:15:00+00:00,2017-03-03,Theft,South Campus Commons,2016-02
34,2016-02-17 13:50:00+00:00,2017-03-03,Disorderly Conduct,Tydings Hall,2016-02
35,2016-02-18 19:50:00+00:00,2017-03-03,Alcohol Violation,Leonardtown Apts,2016-02
36,2016-02-20 01:10:00+00:00,2017-03-03,Injured/Sick Person,Elkton Hall,2016-02
37,2016-02-20 03:20:00+00:00,2017-03-03,Vandalism,Elkton Hall,2016-02
38,2016-02-20 22:30:00+00:00,2017-03-03,Noise Violation,Prince Frederick Hall,2016-02
39,2016-02-21 11:00:00+00:00,2017-03-03,Theft,Somerset Hall,2016-02
40,2016-02-21 23:30:00+00:00,2017-03-03,Injured/Sick Person,Denton Hall,2016-02
41,2016-02-22 19:20:00+00:00,2017-03-03,Vandalism,Denton Hall,2016-02
42,2016-02-24 00:18:00+00:00,2017-03-03,Noise Violation,Elkton Hall,2016-02
43,2016-02-25 21:00:00+00:00,2017-03-03,Theft,Elkton Hall,2016-02
44,2016-02-26 00:04:00+00:00,2017-03-03,Vandalism,South Campus Commons,2016-02
45,2016-02-27 00:15:00+00:00,2017-03-03,Alcohol Violation,Somerset Hall,2016-02
46,2016-02-27 00:35:00+00:00,2017-03-03,Noise Violation,Kent Hall,2016-02
47,2016-02-27 20:40:00+00:00,2017-03-03,Injured/Sick Person,South Campus Commons,2016-02
48,2016-02-27 22:00:00+00:00,2017-03-03,Vandalism,South Campus Commons,2016-02
49,2016-02-28 02:35:00+00:00,2017-03-03,Injured/Sick Person,South Campus Commons,2016-02
50,2016-02-28 16:00:00+00:00,2017-03-03,Harassment,South Hill Community,2016-02
51,2016-03-01 00:00:00+00:00,2016-12-20,Rape,Metzerott Road,2016-03
52,2016-03-02 01:00:00+00:00,2017-03-03,Noise Violation,South Campus Commons,2016-03
53,2016-03-04 00:30:00+00:00,2017-03-03,Alcohol Violation,Ellicott Hall,2016-03
54,2016-03-04 02:15:00+00:00,2017-03-03,Injured/Sick Person,Ellicott Hall,2016-03
55,2016-03-05 01:15:00+00:00,2017-03-03,Alcohol Violation,Hagerstown Hall,2016-03
56,2016-03-05 16:30:00+00:00,2017-03-03,Theft,Dorchester Hall,2016-03
57,2016-03-05 22:15:00+00:00,2017-03-03,Vandalism,South Campus Commons,2016-03
58,2016-03-05 23:00:00+00:00,2017-03-03,Vandalism,Chestertown Hall,2016-03
59,2016-03-06 01:00:00+00:00,2017-03-03,Vandalism,Elkton Hall,2016-03
60,2016-03-06 02:00:00+00:00,2017-03-03,Vandalism,Denton Hall,2016-03
61,2016-03-06 11:30:00+00:00,2017-03-03,Injured/Sick Person,Elkton Hall,2016-03
62,2016-03-06 23:36:00+00:00,2017-03-03,Noise Violation,South Campus Commons,2016-03
63,2016-03-09 22:12:00+00:00,2017-03-03,Vandalism,Wicomico Hall,2016-03
64,2016-03-11 20:00:00+00:00,2017-03-03,Theft,Easton Hall,2016-03
65,2016-03-22 03:40:00+00:00,2017-03-03,Injured/Sick Person,Denton Hall,2016-03
66,2016-03-24 02:36:00+00:00,2017-03-03,Injured/Sick Person,South Campus Commons,2016-03
67,2016-03-25 13:08:00+00:00,2017-03-03,Alcohol Violation,7300 Rhode Island Ave,2016-03
68,2016-03-26 00:21:00+00:00,2017-03-03,Injured/Sick Person,8600 35th Ave,2016-03
69,2016-03-26 22:30:00+00:00,2017-03-03,Injured/Sick Person,Centreville Hall,2016-03
70,2016-03-27 02:15:00+00:00,2017-03-03,Noise Violation,Elkton Hall,2016-03
71,2016-03-28 22:30:00+00:00,2017-03-03,Noise Violation,Queen Anne's Hall,2016-03
72,2016-03-31 22:32:00+00:00,2017-03-03,Noise Violation,Dorchester Hall,2016-03
73,2016-04-02 12:10:00+00:00,2017-03-03,Noise Violation,Leonardtown Apts,2016-04
